param1,param2,variable,n,generation,gamma_ta,label
div_then_fold,fold_growth,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\phi}$)$",430,NA,0.0028065228333251538,Trace
div_then_fold,division_ratio,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f}$)$",430,NA,0.0011725754757846035,Trace
div_then_fold,added_length,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\Delta}$)$",430,NA,0.005485631231723018,Trace
div_then_fold,generationtime,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\tau}$)$",430,NA,0.0028109081846038027,Trace
div_then_fold,length_birth,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{x_0}$)$",430,NA,0.0014065931974950733,Trace
div_then_fold,length_final,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{x_\tau}$)$",430,NA,0.005198157871169113,Trace
div_then_fold,growth_rate,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\alpha}$)$",430,NA,0.001126206380641527,Trace
div_and_fold,div_and_fold,$\overline{f_n e^{\phi_{n}}}$,430,NA,0.008177219858829509,Trace
div_and_fold,fold_then_div,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{f_{n+1} e^{\phi_n}}$)$",430,NA,0.002171424470245437,Trace
div_and_fold,fold_growth,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\phi}$)$",430,NA,0.012771794558411816,Trace
div_and_fold,division_ratio,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{f}$)$",430,NA,-0.019143104328131245,Trace
div_and_fold,added_length,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\Delta}$)$",430,NA,0.007697212214592031,Trace
div_and_fold,generationtime,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\tau}$)$",430,NA,0.01906017257094791,Trace
div_and_fold,length_birth,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{x_0}$)$",430,NA,-0.009363253602841563,Trace
div_and_fold,length_final,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{x_\tau}$)$",430,NA,0.0012675005837088976,Trace
div_and_fold,growth_rate,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\alpha}$)$",430,NA,-0.011510809335398324,Trace
fold_then_div,fold_then_div,$\overline{f_{n+1} e^{\phi_n}}$,430,NA,0.009148536872589473,Trace
fold_then_div,fold_growth,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{\phi}$)$",430,NA,0.0028375899979519864,Trace
fold_then_div,division_ratio,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{f}$)$",430,NA,0.0030716397098932576,Trace
fold_then_div,added_length,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{\Delta}$)$",430,NA,0.006721107120343428,Trace
fold_then_div,generationtime,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{\tau}$)$",430,NA,0.000898150280399696,Trace
fold_then_div,length_birth,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{x_0}$)$",430,NA,0.004677617662063399,Trace
fold_then_div,length_final,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{x_\tau}$)$",430,NA,0.007939261766164904,Trace
fold_then_div,growth_rate,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{\alpha}$)$",430,NA,0.0033554288042842257,Trace
fold_growth,fold_growth,$\overline{\phi}$,430,NA,0.03314494172522718,Trace
fold_growth,division_ratio,"$($\overline{\phi}$, $\overline{f}$)$",430,NA,-0.0612119774707336,Trace
fold_growth,added_length,"$($\overline{\phi}$, $\overline{\Delta}$)$",430,NA,0.023183442000190745,Trace
fold_growth,generationtime,"$($\overline{\phi}$, $\overline{\tau}$)$",430,NA,0.04492408401886068,Trace
fold_growth,length_birth,"$($\overline{\phi}$, $\overline{x_0}$)$",430,NA,-0.01597395107851685,Trace
fold_growth,length_final,"$($\overline{\phi}$, $\overline{x_\tau}$)$",430,NA,0.010317352172170814,Trace
fold_growth,growth_rate,"$($\overline{\phi}$, $\overline{\alpha}$)$",430,NA,-0.02505511285718868,Trace
div_then_fold,div_then_fold,$\overline{f_n e^{\phi_{n+1}}}$,430,NA,0.008670857307454804,Trace
div_then_fold,div_and_fold,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f_n e^{\phi_{n}}}$)$",430,NA,0.003712962002912522,Trace
div_then_fold,fold_then_div,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f_{n+1} e^{\phi_n}}$)$",430,NA,0.0052858496493756,Trace
div_then_fold,fold_growth,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\phi}$)$",430,NA,0.0028065228333251538,Trace
div_then_fold,division_ratio,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f}$)$",430,NA,0.0011725754757846035,Trace
div_then_fold,added_length,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\Delta}$)$",430,NA,0.005485631231723018,Trace
div_then_fold,generationtime,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\tau}$)$",430,NA,0.0028109081846038027,Trace
div_then_fold,length_birth,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{x_0}$)$",430,NA,0.0014065931974950733,Trace
div_then_fold,length_final,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{x_\tau}$)$",430,NA,0.005198157871169113,Trace
div_then_fold,growth_rate,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\alpha}$)$",430,NA,0.001126206380641527,Trace
div_and_fold,div_and_fold,$\overline{f_n e^{\phi_{n}}}$,430,NA,0.008177219858829509,Trace
div_and_fold,fold_then_div,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{f_{n+1} e^{\phi_n}}$)$",430,NA,0.002171424470245437,Trace
div_and_fold,fold_growth,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\phi}$)$",430,NA,0.012771794558411816,Trace
div_and_fold,division_ratio,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{f}$)$",430,NA,-0.019143104328131245,Trace
div_and_fold,added_length,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\Delta}$)$",430,NA,0.007697212214592031,Trace
div_and_fold,generationtime,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\tau}$)$",430,NA,0.01906017257094791,Trace
div_and_fold,length_birth,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{x_0}$)$",430,NA,-0.009363253602841563,Trace
div_and_fold,length_final,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{x_\tau}$)$",430,NA,0.0012675005837088976,Trace
div_and_fold,growth_rate,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\alpha}$)$",430,NA,-0.011510809335398324,Trace
fold_then_div,fold_then_div,$\overline{f_{n+1} e^{\phi_n}}$,430,NA,0.009148536872589473,Trace
fold_then_div,fold_growth,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{\phi}$)$",430,NA,0.0028375899979519864,Trace
fold_then_div,division_ratio,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{f}$)$",430,NA,0.0030716397098932576,Trace
fold_then_div,added_length,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{\Delta}$)$",430,NA,0.006721107120343428,Trace
fold_then_div,generationtime,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{\tau}$)$",430,NA,0.000898150280399696,Trace
fold_then_div,length_birth,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{x_0}$)$",430,NA,0.004677617662063399,Trace
fold_then_div,length_final,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{x_\tau}$)$",430,NA,0.007939261766164904,Trace
fold_then_div,growth_rate,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{\alpha}$)$",430,NA,0.0033554288042842257,Trace
fold_growth,fold_growth,$\overline{\phi}$,430,NA,0.03314494172522718,Trace
fold_growth,division_ratio,"$($\overline{\phi}$, $\overline{f}$)$",430,NA,-0.0612119774707336,Trace
fold_growth,added_length,"$($\overline{\phi}$, $\overline{\Delta}$)$",430,NA,0.023183442000190745,Trace
fold_growth,generationtime,"$($\overline{\phi}$, $\overline{\tau}$)$",430,NA,0.04492408401886068,Trace
fold_growth,length_birth,"$($\overline{\phi}$, $\overline{x_0}$)$",430,NA,-0.01597395107851685,Trace
fold_growth,length_final,"$($\overline{\phi}$, $\overline{x_\tau}$)$",430,NA,0.010317352172170814,Trace
fold_growth,growth_rate,"$($\overline{\phi}$, $\overline{\alpha}$)$",430,NA,-0.02505511285718868,Trace
division_ratio,division_ratio,$\overline{f}$,430,NA,0.13423380557222106,Trace
division_ratio,added_length,"$($\overline{f}$, $\overline{\Delta}$)$",430,NA,-0.0440948012812015,Trace
division_ratio,generationtime,"$($\overline{f}$, $\overline{\tau}$)$",430,NA,-0.08722105003030674,Trace
division_ratio,length_birth,"$($\overline{f}$, $\overline{x_0}$)$",430,NA,0.025169277405508606,Trace
division_ratio,length_final,"$($\overline{f}$, $\overline{x_\tau}$)$",430,NA,-0.02239467347668094,Trace
division_ratio,growth_rate,"$($\overline{f}$, $\overline{\alpha}$)$",430,NA,0.055401609054952054,Trace
div_then_fold,div_then_fold,$\overline{f_n e^{\phi_{n+1}}}$,430,NA,0.008670857307454804,Trace
div_then_fold,div_and_fold,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f_n e^{\phi_{n}}}$)$",430,NA,0.003712962002912522,Trace
div_then_fold,fold_then_div,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f_{n+1} e^{\phi_n}}$)$",430,NA,0.0052858496493756,Trace
div_then_fold,fold_growth,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\phi}$)$",430,NA,0.0028065228333251538,Trace
div_then_fold,division_ratio,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f}$)$",430,NA,0.0011725754757846035,Trace
div_then_fold,added_length,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\Delta}$)$",430,NA,0.005485631231723018,Trace
div_then_fold,generationtime,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\tau}$)$",430,NA,0.0028109081846038027,Trace
div_then_fold,length_birth,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{x_0}$)$",430,NA,0.0014065931974950733,Trace
div_then_fold,length_final,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{x_\tau}$)$",430,NA,0.005198157871169113,Trace
div_then_fold,growth_rate,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\alpha}$)$",430,NA,0.001126206380641527,Trace
div_and_fold,div_and_fold,$\overline{f_n e^{\phi_{n}}}$,430,NA,0.008177219858829509,Trace
div_and_fold,fold_then_div,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{f_{n+1} e^{\phi_n}}$)$",430,NA,0.002171424470245437,Trace
div_and_fold,fold_growth,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\phi}$)$",430,NA,0.012771794558411816,Trace
div_and_fold,division_ratio,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{f}$)$",430,NA,-0.019143104328131245,Trace
div_and_fold,added_length,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\Delta}$)$",430,NA,0.007697212214592031,Trace
div_and_fold,generationtime,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\tau}$)$",430,NA,0.01906017257094791,Trace
div_and_fold,length_birth,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{x_0}$)$",430,NA,-0.009363253602841563,Trace
div_and_fold,length_final,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{x_\tau}$)$",430,NA,0.0012675005837088976,Trace
div_and_fold,growth_rate,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\alpha}$)$",430,NA,-0.011510809335398324,Trace
fold_then_div,fold_then_div,$\overline{f_{n+1} e^{\phi_n}}$,430,NA,0.009148536872589473,Trace
fold_then_div,fold_growth,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{\phi}$)$",430,NA,0.0028375899979519864,Trace
fold_then_div,division_ratio,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{f}$)$",430,NA,0.0030716397098932576,Trace
fold_then_div,added_length,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{\Delta}$)$",430,NA,0.006721107120343428,Trace
fold_then_div,generationtime,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{\tau}$)$",430,NA,0.000898150280399696,Trace
fold_then_div,length_birth,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{x_0}$)$",430,NA,0.004677617662063399,Trace
fold_then_div,length_final,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{x_\tau}$)$",430,NA,0.007939261766164904,Trace
fold_then_div,growth_rate,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{\alpha}$)$",430,NA,0.0033554288042842257,Trace
fold_growth,fold_growth,$\overline{\phi}$,430,NA,0.03314494172522718,Trace
fold_growth,division_ratio,"$($\overline{\phi}$, $\overline{f}$)$",430,NA,-0.0612119774707336,Trace
fold_growth,added_length,"$($\overline{\phi}$, $\overline{\Delta}$)$",430,NA,0.023183442000190745,Trace
fold_growth,generationtime,"$($\overline{\phi}$, $\overline{\tau}$)$",430,NA,0.04492408401886068,Trace
fold_growth,length_birth,"$($\overline{\phi}$, $\overline{x_0}$)$",430,NA,-0.01597395107851685,Trace
fold_growth,length_final,"$($\overline{\phi}$, $\overline{x_\tau}$)$",430,NA,0.010317352172170814,Trace
fold_growth,growth_rate,"$($\overline{\phi}$, $\overline{\alpha}$)$",430,NA,-0.02505511285718868,Trace
division_ratio,division_ratio,$\overline{f}$,430,NA,0.13423380557222106,Trace
division_ratio,added_length,"$($\overline{f}$, $\overline{\Delta}$)$",430,NA,-0.0440948012812015,Trace
division_ratio,generationtime,"$($\overline{f}$, $\overline{\tau}$)$",430,NA,-0.08722105003030674,Trace
division_ratio,length_birth,"$($\overline{f}$, $\overline{x_0}$)$",430,NA,0.025169277405508606,Trace
division_ratio,length_final,"$($\overline{f}$, $\overline{x_\tau}$)$",430,NA,-0.02239467347668094,Trace
division_ratio,growth_rate,"$($\overline{f}$, $\overline{\alpha}$)$",430,NA,0.055401609054952054,Trace
added_length,added_length,$\overline{\Delta}$,430,NA,0.11823598053753108,Trace
added_length,generationtime,"$($\overline{\Delta}$, $\overline{\tau}$)$",430,NA,0.060876947132399176,Trace
added_length,length_birth,"$($\overline{\Delta}$, $\overline{x_0}$)$",430,NA,0.15095661927618687,Trace
added_length,length_final,"$($\overline{\Delta}$, $\overline{x_\tau}$)$",430,NA,0.17616773758884197,Trace
added_length,growth_rate,"$($\overline{\Delta}$, $\overline{\alpha}$)$",430,NA,-0.06507019730433058,Trace
div_then_fold,div_then_fold,$\overline{f_n e^{\phi_{n+1}}}$,430,NA,0.008670857307454804,Trace
div_then_fold,div_and_fold,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f_n e^{\phi_{n}}}$)$",430,NA,0.003712962002912522,Trace
div_then_fold,fold_then_div,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f_{n+1} e^{\phi_n}}$)$",430,NA,0.0052858496493756,Trace
div_then_fold,fold_growth,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\phi}$)$",430,NA,0.0028065228333251538,Trace
div_then_fold,division_ratio,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{f}$)$",430,NA,0.0011725754757846035,Trace
div_then_fold,added_length,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\Delta}$)$",430,NA,0.005485631231723018,Trace
div_then_fold,generationtime,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\tau}$)$",430,NA,0.0028109081846038027,Trace
div_then_fold,length_birth,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{x_0}$)$",430,NA,0.0014065931974950733,Trace
div_then_fold,length_final,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{x_\tau}$)$",430,NA,0.005198157871169113,Trace
div_then_fold,growth_rate,"$($\overline{f_n e^{\phi_{n+1}}}$, $\overline{\alpha}$)$",430,NA,0.001126206380641527,Trace
div_and_fold,div_and_fold,$\overline{f_n e^{\phi_{n}}}$,430,NA,0.008177219858829509,Trace
div_and_fold,fold_then_div,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{f_{n+1} e^{\phi_n}}$)$",430,NA,0.002171424470245437,Trace
div_and_fold,fold_growth,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\phi}$)$",430,NA,0.012771794558411816,Trace
div_and_fold,division_ratio,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{f}$)$",430,NA,-0.019143104328131245,Trace
div_and_fold,added_length,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\Delta}$)$",430,NA,0.007697212214592031,Trace
div_and_fold,generationtime,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\tau}$)$",430,NA,0.01906017257094791,Trace
div_and_fold,length_birth,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{x_0}$)$",430,NA,-0.009363253602841563,Trace
div_and_fold,length_final,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{x_\tau}$)$",430,NA,0.0012675005837088976,Trace
div_and_fold,growth_rate,"$($\overline{f_n e^{\phi_{n}}}$, $\overline{\alpha}$)$",430,NA,-0.011510809335398324,Trace
fold_then_div,fold_then_div,$\overline{f_{n+1} e^{\phi_n}}$,430,NA,0.009148536872589473,Trace
fold_then_div,fold_growth,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{\phi}$)$",430,NA,0.0028375899979519864,Trace
fold_then_div,division_ratio,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{f}$)$",430,NA,0.0030716397098932576,Trace
fold_then_div,added_length,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{\Delta}$)$",430,NA,0.006721107120343428,Trace
fold_then_div,generationtime,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{\tau}$)$",430,NA,0.000898150280399696,Trace
fold_then_div,length_birth,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{x_0}$)$",430,NA,0.004677617662063399,Trace
fold_then_div,length_final,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{x_\tau}$)$",430,NA,0.007939261766164904,Trace
fold_then_div,growth_rate,"$($\overline{f_{n+1} e^{\phi_n}}$, $\overline{\alpha}$)$",430,NA,0.0033554288042842257,Trace
fold_growth,fold_growth,$\overline{\phi}$,430,NA,0.03314494172522718,Trace
fold_growth,division_ratio,"$($\overline{\phi}$, $\overline{f}$)$",430,NA,-0.0612119774707336,Trace
fold_growth,added_length,"$($\overline{\phi}$, $\overline{\Delta}$)$",430,NA,0.023183442000190745,Trace
fold_growth,generationtime,"$($\overline{\phi}$, $\overline{\tau}$)$",430,NA,0.04492408401886068,Trace
fold_growth,length_birth,"$($\overline{\phi}$, $\overline{x_0}$)$",430,NA,-0.01597395107851685,Trace
fold_growth,length_final,"$($\overline{\phi}$, $\overline{x_\tau}$)$",430,NA,0.010317352172170814,Trace
fold_growth,growth_rate,"$($\overline{\phi}$, $\overline{\alpha}$)$",430,NA,-0.02505511285718868,Trace
division_ratio,division_ratio,$\overline{f}$,430,NA,0.13423380557222106,Trace
division_ratio,added_length,"$($\overline{f}$, $\overline{\Delta}$)$",430,NA,-0.0440948012812015,Trace
division_ratio,generationtime,"$($\overline{f}$, $\overline{\tau}$)$",430,NA,-0.08722105003030674,Trace
